,0,1
279,Boyhood,https://www.imsdb.com/scripts/Boyhood.html
280,Braveheart,https://www.imsdb.com/scripts/Braveheart.html
281,Brazil,https://www.imsdb.com/scripts/Brazil.html
282,Break,https://www.imsdb.com/scripts/Break.html
283,Breakdown,https://www.imsdb.com/scripts/Breakdown.html
284,"Breakfast-Club,-The","https://www.imsdb.com/scripts/Breakfast-Club,-The.html"
285,Breaking-Away,https://www.imsdb.com/scripts/Breaking-Away.html
286,Brick,https://www.imsdb.com/scripts/Brick.html
287,Bridesmaids,https://www.imsdb.com/scripts/Bridesmaids.html
288,Bringing-Out-the-Dead,https://www.imsdb.com/scripts/Bringing-Out-the-Dead.html
289,Broadcast-News,https://www.imsdb.com/scripts/Broadcast-News.html
290,Broken-Arrow,https://www.imsdb.com/scripts/Broken-Arrow.html
291,Broken-Embraces,https://www.imsdb.com/scripts/Broken-Embraces.html
292,"Brothers-Bloom,-The","https://www.imsdb.com/scripts/Brothers-Bloom,-The.html"
293,Bruce-Almighty,https://www.imsdb.com/scripts/Bruce-Almighty.html
294,Buffy-the-Vampire-Slayer,https://www.imsdb.com/scripts/Buffy-the-Vampire-Slayer.html
295,Bull-Durham,https://www.imsdb.com/scripts/Bull-Durham.html
296,Buried,https://www.imsdb.com/scripts/Buried.html
297,Burlesque,https://www.imsdb.com/scripts/Burlesque.html
298,Burn-After-Reading,https://www.imsdb.com/scripts/Burn-After-Reading.html
299,Burning-Annie,https://www.imsdb.com/scripts/Burning-Annie.html
300,"Butterfly-Effect,-The","https://www.imsdb.com/scripts/Butterfly-Effect,-The.html"
301,Cable-Guy,https://www.imsdb.com/scripts/Cable-Guy.html
302,Candle-to-Water,https://www.imsdb.com/scripts/Candle-to-Water.html
303,Capote,https://www.imsdb.com/scripts/Capote.html
304,Carrie,https://www.imsdb.com/scripts/Carrie.html
305,Cars-2,https://www.imsdb.com/scripts/Cars-2.html
306,Casablanca,https://www.imsdb.com/scripts/Casablanca.html
307,Case-39,https://www.imsdb.com/scripts/Case-39.html
308,Casino,https://www.imsdb.com/scripts/Casino.html
309,Cast-Away,https://www.imsdb.com/scripts/Cast-Away.html
310,Catch-Me-If-You-Can,https://www.imsdb.com/scripts/Catch-Me-If-You-Can.html
311,Catwoman,https://www.imsdb.com/scripts/Catwoman.html
312,Cecil-B.-Demented,https://www.imsdb.com/scripts/Cecil-B.-Demented.html
313,Cedar-Rapids,https://www.imsdb.com/scripts/Cedar-Rapids.html
314,Celeste-&-Jesse-Forever,https://www.imsdb.com/scripts/Celeste-&-Jesse-Forever.html
